reader_id,bt_id,past_status,current_status,name,int_id,project_name,geom
135,4033,online,offline,Islington,13469826,RESCU,0101000020E61000007FFB3A70CEE053C01E1B81785DCF4540
175,5121,online,offline,Spanbridge,13455964,RESCU,0101000020E610000026E4839ECDD453C0137EA99F37DB4540
186,5122,online,offline,York Mills,13450302,RESCU,0101000020E61000005A8121AB5BD553C0B2BAD573D2DF4540
173,5124,online,offline,Royal York,13469715,RESCU,0101000020E6100000F5A276BF0AE053C0857B65DEAACF4540
96,5272,online,offline,CO_OS,13466116,Downtown Expansion,0101000020E610000000790A140CDB53C031CB434BC3D34540
69,5333,online,offline,Mt Pleasant,13454100,Cycle Tracks,0101000020E610000036C8242367D953C00DAB7823F3DC4540
89,5610,online,offline,Brenyon,13442793,NULL,0101000020E610000042CD902A8ACD53C0AA29C93A1CE74540
80,5612,online,offline,HB_QP,30021549,Downtown Expansion,0101000020E6100000AE2E02BE36D953C04AED45B41DD54540
25,5616,online,offline,Glengrove,13455032,NULL,0101000020E61000000F7F4DD6A8D953C0AD1397E315DC4540
77,5819,online,offline,BD_HP,13466332,NULL,0101000020E610000007600322C4DD53C00169FF03ACD34540
140,9018,online,offline,KN_SP,13467505,King Pilot,0101000020E6100000F163CC5D4BD953C07B32FFE89BD24540
162,9021,online,offline,QU_RO,13468436,King Pilot,0101000020E6100000868F882991DC53C0D673D2FBC6D14540
103,9039,online,offline,DU_DF,13466894,King Pilot,0101000020E61000004A7A185A9DDB53C0A034D42824D34540
131,9090,online,offline,HB_BA,13464943,Downtown Expansion,0101000020E610000042FC0D2439DA53C0FA43334FAED44540
98,9093,online,offline,CO_SP,13465489,Downtown Expansion,0101000020E61000009968EB3B9AD953C0EAEA8EC536D44540
74,9096,online,offline,BD_DF,13465260,Downtown Expansion,0101000020E6100000886F1750DEDB53C0C3EFA65B76D44540
183,9097,online,offline,WS_QP,13464585,Downtown Expansion,0101000020E6100000FACCFEE5FFD853C072005878F2D44540
133,9100,online,offline,HB_SP,13464674,Downtown Expansion,0101000020E61000001C171FB0BCD953C06A25BE24DFD44540
105,9279,online,offline,DU_JO,13464003,East Expansion,0101000020E610000067B4554964D553C0BF0CC68844D54540
15,9311,online,offline,C,13468814,NULL,0101000020E61000006C21C84109DB53C074EE76BD34D14540
87,9312,online,offline,BL_RU,13466753,NULL,0101000020E61000009FE5797077DE53C0DEC7D11C59D34540
