"bylaw_id","highway","between","failed_reason","resaon"
2207,"Lake Shore Boulevard West (westbound)","North of Frederick G. Gardiner Expressway, between Toronto Transit Commission streetcar underpass located north of Frederick G. Gardiner Expressway at a point approximately 450 metres west of the Humber River and Lake Shore Boulevard West",1,"text failed to be cleaned"
2208,"Lake Shore Boulevard West (westbound)","North of Frederick G. Gardiner Expressway, between the Humber River and the Toronto Transit Commission streetcar underpass located north of the Frederick G. Gardiner Expressway at a point approximately 450 metres west of the Humber River",1,"text failed to be cleaned"
6326,"Durie Street","Colbeck Street and a point approximatley 36.2 metres north of Annette Street",1,"text failed to be cleaned"
6742,"Fairbank Avenue (northerly branch)","Entire length",2,"failed at the entire length stage"
85,"Amelia Street","Parliament Street and the easterly end of Amelia Street",3,"no int_id is not found for the second intersection only"
297,"Beechborough Avenue","Strathnairn Avenue and Castlefield Avenue",3,"no int_id is not found for the second intersection only"
331,"Bemersyde Drive","Eglinton Avenue",3,"no int_id is not found for the second intersection only"
362,"Berry Road","The west end of Berry Road and Stonegate Road",3,"no int_id is not found for the second intersection only"
577,"Brussels Street","Grand Avenue and Dalesford Road",3,"no int_id is not found for the second intersection only"
850,"Colonel Samuel Smith Park Drive","Lake Shore Boulevard West and the south side of Colonel Samuel Smith Park Drive",3,"no int_id is not found for the second intersection only"
886,"Cortland Avenue","Cheritan Avenue and north end of Cortland Avenue",3,"no int_id is not found for the second intersection only"
964,"Dalesford Road","Royal York Road and Brussels Street",3,"no int_id is not found for the second intersection only"
967,"Dallimore Circle","Green Belt Drive and the east side of Dallimore Circle",3,"no int_id is not found for the second intersection only"
1299,"Erica Avenue","Palm Drive and the east end of Erica Drive",3,"no int_id is not found for the second intersection only"
1461,"Frederick G. Gardiner Expressway Eastbound Off-Ramp (eastbound lanes)","A point 250 metres east of Royal York Road and a point 100 metres west of Legion Road North",3,"no int_id is not found for the second intersection only"
1691,"Graystone Gardens","Islington Avenue and west limit of road",3,"no int_id is not found for the second intersection only"
1729,"Greylawn Crescent","Victoria Park Avenue (south intersection and Victoria Park Avenue (north intersection)",3,"no int_id is not found for the second intersection only"
1734,"Grosvenor Street","Bay Street and Queen's Park Crescent East",3,"no int_id is not found for the second intersection only"
1979,"Humphrey Gate","Green Belt Drive and Jessie Drive",3,"no int_id is not found for the second intersection only"
1982,"Hunthill Court","Ripplewood Road and the north end of Hunthill Road",3,"no int_id is not found for the second intersection only"
2102,"Kempford Boulevard","Yonge Street and Holcolm Road/Santa Barbara Road",3,"no int_id is not found for the second intersection only"
2163,"Kingslea Garden","Prince Edward Drive and Kingslea Court",3,"no int_id is not found for the second intersection only"
2206,"Lake Shore Boulevard West (eastbound)","South of Frederick G. Gardiner Expressway between Palace Pier Court and the Humber River",3,"no int_id is not found for the second intersection only"
2455,"Marchington Circle (proceeding clockwise)","Kellyvale Road (north side) and Kellyvale Road (south side)",3,"no int_id is not found for the second intersection only"
2476,"Markland Drive (section south of Bloor Street West","Bloor Street West (east intersection) and Bloor Street West (west intersection)",3,"no int_id is not found for the second intersection only"
2695,"Nelles Avenue","Jane Street and Armadale",3,"no int_id is not found for the second intersection only"
2711,"Nicholas Avenue","Shuter Street and River Street",3,"no int_id is not found for the second intersection only"
2772,"Oasis Boulevard","Morningside Avenue to north end of Oasis Boulevard",3,"no int_id is not found for the second intersection only"
2846,"Palace Arch Drive","Princess Margaret Boulevard and Islington Avenue",3,"no int_id is not found for the second intersection only"
2894,"Passmore Avenue","Middlefield Road and east end of Passmore Avenue",3,"no int_id is not found for the second intersection only"
2948,"Pinedale Road","Dawlish Avenue and a point 86.6 metres east of St. Leonard's Crescent/Pinedale Road",3,"no int_id is not found for the second intersection only"
2980,"Port Union Road","Lawrence Avenue East and Highway  2A",3,"no int_id is not found for the second intersection only"
3140,"Ridgegate Crescent","Grenview Boulevard South and Grenview Boulevard South",3,"no int_id is not found for the second intersection only"
3154,"River Street","Spruce Street and Bayview Avenue Ramp",3,"no int_id is not found for the second intersection only"
3169,"Riverview Heights","Dixon Road and Scarlett Road",3,"no int_id is not found for the second intersection only"
