bylaw_id,street_name,extents,confidence,notice
1896,Hillhurst Boulevard,The north end lof Hillhurst Boulevard and Proudfoot Avenue,No Match,btwn1: The N end lof Hillhurst Blvd btwn2: Proudfoot Ave highway2: Hillhurst Blvd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
3972,White Abbey Park,Ellesmere Road and North End of White Abbey Park,No Match,btwn1: Ellesmere Rd btwn2: North End of White Abbey Pk highway2: White Abbey Pk metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13448700 oid2: 
4000,William R. Allen Road,Transit Road and Steeprock Drive/Overbrook Place,No Match,btwn1: Transit Rd btwn2: Steeprock Dr highway2: William R. Allen Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13451786 oid2: 
2772,Oasis Boulevard,Morningside Avenue to north end of Oasis Boulevard,No Match,btwn1: Morningside Ave btwn2: north end of Oasis Blvd highway2: Oasis Blvd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 14674473 oid2: 
1401,First lane north of Bloor Street West,Brentwood Road North and the east end of the first lane north of Bloor Street West,No Match,btwn1: Brentwood Rd N btwn2: the first lane north of Bloor St W highway2: First lane north of Bloor St W metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
2206,Lake Shore Boulevard West (eastbound),"South of Frederick G. Gardiner Expressway, between Palace Pier Court and the Humber River",No Match,"btwn1: Frederick G. Gardiner Expressway, Palace Pier Ct btwn2: the Humber River highway2: Lake Shore Blvd W  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13467661 oid2: "
2542,Meadowvale Road,Highway 401 and Old Finch Avenue,No Match,btwn1: Highway 401 btwn2: Old Finch Ave highway2: Meadowvale Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
2647,Morrison Avenue (TO),Donlands Avenue and Greenwood Avenue,No Match,btwn1: Donlands Ave btwn2: Greenwood Ave highway2: Morrison Ave  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
2832,Overland Drive,The Donway West Barber Greene Road,No Match,btwn1: The Donway West Barber Greene Rd btwn2:  highway2: Overland Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
2846,Palace Arch Drive,Princess Margaret Boulevard and Islington Avenue,No Match,btwn1: Princess Margaret Blvd btwn2: Islington Ave highway2: Palace Arch Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13462960 oid2: 
3154,River Street ,Spruce Street and Bayview Avenue Ramp,No Match,btwn1: Spruce St btwn2: Bayview Avenue Ramp highway2: River St  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13464294 oid2: 
6367,Broadview Avenue,Bayview Avenue and a point 142.8 metres west of Cardiff Road,No Match,btwn1: Bayview Ave btwn2: Cardiff Rd highway2: Broadview Ave metres_btwn1:  metres_btwn2: 142.8 direction_btwn1:  direction_btwn2: west oid1: 13446562 oid2: 
2546,Medland Street,Oakmount Road and Dundas Street West,No Match,btwn1: Oakmount Rd btwn2: Dundas St W highway2: Medland St metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
4718,Ridelle Avenue,Dufferin Street and a point 77.64 metres west of William R. Allen Road,No Match,btwn1: Dufferin St btwn2: William R. Allen Rd highway2: Ridelle Ave metres_btwn1:  metres_btwn2: 77.64 direction_btwn1:  direction_btwn2: west oid1: 13458063 oid2: 
404,Black Creek Drive,Jane Street and Maple Leaf Drive,Medium (2 character difference),btwn1: Jane St btwn2: Maple Leaf Dr highway2: Black Creek Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 30006794 oid2: 13456799
668,Carlingview Drive,Highway 401 ramp and Entrance Road,No Match,btwn1: Highway 401 ramp btwn2: Entrance Rd highway2: Carlingview Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
577,Brussels Street,Grand Avenue and Dalesford Road,No Match,btwn1: Grand Ave btwn2: Dalesford Rd highway2: Brussels St metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13469490 oid2: 
1430,Forest Manor Road,George Henry Boulevad and Parkway Forest Drive,No Match,btwn1: George Henry Boulevad btwn2: Parkway Forest Dr highway2: Forest Manor Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
4286,Kingsmere Crescent,Kingston Road Service Road and the south end of Kingsmere Crescent,Low (6 character difference),btwn1: Kingston Rd Service Rd btwn2: Kingsmere Cres highway2: Kingsmere Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13460581 oid2: 13451390
1975,Humberwood Boulevard,A point 138 metres west/north of Hullrick Drive (west intersection) and a point 970 metres further north,No Match,btwn1:  138 m west btwn2: 138 m west highway2: Humberwood Blvd metres_btwn1: 138 metres_btwn2: 970 direction_btwn1: west/north direction_btwn2: north oid1:  oid2: 
2004,Indian Line,"Dixon Road and a point 1,830 metres north of Rexdale Boulevard",No Match,btwn1: Dixon Rd btwn2: Rexdale Blvd highway2: Indian Line metres_btwn1:  metres_btwn2: 1830 direction_btwn1:  direction_btwn2: north oid1:  oid2: 
2711,Nicholas Avenue,Shuter Street and River Street,No Match,btwn1: Shuter St btwn2: River St highway2: Nicholas Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 30089357 oid2: 
6432,Northdale Boulevard,Northline Road and a point 90 metres west of Northdale Boulevard,Very High (100% match),btwn1: Northline Rd btwn2: Northdale Blvd highway2: Northdale Blvd metres_btwn1:  metres_btwn2: 90 direction_btwn1:  direction_btwn2: west oid1: 13456422 oid2: 13456466
2091,Kathrose Drive,Clydesdale Drive and a point 120 metres north thereof,Very High (100% match),btwn1: Clydesdale Dr btwn2: Clydesdale Dr highway2: Kathrose Dr metres_btwn1:  metres_btwn2: 120 direction_btwn1:  direction_btwn2: north thereof oid1: 13445501 oid2: 13445501
2163,Kingslea Garden,Prince Edward Drive and Kingslea Court,No Match,btwn1: Prince Edward Dr btwn2: Kingslea Ct highway2: Kingslea Garden metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13467231 oid2: 
2297,Lewis Avenue ,Eastern Avenue and Queen Street East ,Low (4 character difference),btwn1: Eastern Ave btwn2: Queen St E highway2: Lewis Ave  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13465605 oid2: 13466322
2695,Nelles Avenue,Jane Street and Armadale,No Match,btwn1: Jane St btwn2: Armadale highway2: Nelles Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13466600 oid2: 
2948,Pinedale Road,Dawlish Avenue and a point 86.6 metres east of St. Leonard's Crescent/Pinedale Road,No Match,btwn1: Dawlish Ave btwn2: St. Leonards Cres highway2: Pinedale Rd metres_btwn1:  metres_btwn2: 86.6 direction_btwn1:  direction_btwn2: east oid1: 13454580 oid2: 
3822,Vanellan Court,Van Dusen Boulevard and north limit of road,No Match,btwn1: Van Dusen Blvd btwn2: north limit of road highway2: Vanellan Ct metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13468034 oid2: 
3877,Waniska Avenue,Stephen Drive and West limit of road,No Match,btwn1: Stephen Dr btwn2: West limit of road highway2: Waniska Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13469048 oid2: 
4242,Cynthia Road,Scarlett Road and the east limit of Cynthia Road,No Match,btwn1: Scarlett Rd btwn2: the east limit of Cynthia Rd highway2: Cynthia Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13462499 oid2: 
4264,Donlands Avenue,Plains Road and Millwood Road/Pape Avenue,No Match,btwn1: Plains Rd btwn2: Millwood Rd highway2: Donlands Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13459268 oid2: 
5832,Brunel Court,Fort York Boulevard and south end of Brunel Court,No Match,btwn1: Fort York Blvd btwn2: south end of Brunel Ct highway2: Brunel Ct metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 20035047 oid2: 
5905,Gertrude Place,A point 56.76 metres west Woodycrest Avenue and a point 48.99 metres east of Woodycrest Avenue,No Match,btwn1:  56.76 m west Woodycrest Ave btwn2: Woodycrest Ave highway2: Gertrude Pl metres_btwn1: 56.76 metres_btwn2: 48.99 direction_btwn1: west Woodycrest Ave direction_btwn2: east oid1:  oid2: 
6450,Thyra Avenue,A point 132.94 metres north of Dentonia Park Avenue,No Match,btwn1:  Dentonia Park Ave btwn2:  highway2: Thyra Ave metres_btwn1: 132.94 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13459089 oid2: 
6499,Neptune Drive,Hotspur Road and Baycrest Avenue,No Match,btwn1: Hotspur Rd btwn2: Baycrest Ave highway2: Neptune Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13453204 oid2: 
6513,Bayview Wood,Mildenhall Road and the northeast limit of Bayview Wood,No Match,btwn1: Mildenhall Rd btwn2: the northeast limit of Bayview Wood highway2: Bayview Wood metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13453916 oid2: 
6620,Cheritan Avenue (west leg),Rosewell Avenue and the easterly end of Cheritan Avenue (west leg),No Match,btwn1: Rosewell Ave btwn2: the easterly end of Cheritan Ave highway2: Cheritan Ave  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454927 oid2: 
1082,Don Valley Parkway (northbound and southbound),Frederick G. Gardiner Expressway and Highway 404,No Match,btwn1: Frederick G. Gardiner Expressway btwn2: Highway 404 highway2: Don Valley Pkwy  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1081,Don Valley Parkway (northbound and southbound),Frederick G. Gardiner Expressway and Highway 404,No Match,btwn1: Frederick G. Gardiner Expressway btwn2: Highway 404 highway2: Don Valley Pkwy  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1461,Frederick G. Gardiner Expressway Eastbound Off-Ramp (eastbound lanes),A point 250 metres east of Royal York Road and a point 100 metres west of Legion Road North,No Match,btwn1:  Royal York Rd btwn2: Legion Rd N highway2: Frederick G. Gardiner Expressway Eastbound Off-Ramp  metres_btwn1: 250 metres_btwn2: 100 direction_btwn1: east direction_btwn2: west oid1: 13465360 oid2: 
1462,Frederick G. Gardiner Expressway Eastbound Off-Ramp (eastbound lanes),A point 100 metres west of Legion Road North and Park Lawn Road,No Match,btwn1:  Legion Rd N btwn2: Park Lawn Rd highway2: Frederick G. Gardiner Expressway Eastbound Off-Ramp  metres_btwn1: 100 metres_btwn2:  direction_btwn1: west direction_btwn2:  oid1:  oid2: 
2409,Madeline Road,Finch Avenue West Lorraine Drive,No Match,btwn1: Finch Ave West Lorraine Dr btwn2:  highway2: Madeline Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
3102,Reesor Road,Old Finch Avenue and a point 122 metres south Steeles Avenue East,Very High (100% match),btwn1: Old Finch Ave btwn2: Old Finch Ave highway2: Reesor Rd metres_btwn1:  metres_btwn2: 122 direction_btwn1:  direction_btwn2: south Steeles Ave E oid1: 13441716 oid2: 13441716
3543,St. Joseph Street,Bay Street and Queen's Park Crescent East,No Match,btwn1: Bay St btwn2: Queens Park Crescent E highway2: St. Joseph St metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13464231 oid2: 
3735,Tilbury Drive,Keele Street and Cuffley Crescent South,No Match,btwn1: Keele St btwn2: Cuffley Crescent S highway2: Tilbury Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13453646 oid2: 
351,Berkindale Avenue,Rollscourt Drive and Harrison Road,Low (6 character difference),btwn1: Rollscourt Dr btwn2: Harrison Rd highway2: Berkindale Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13449310 oid2: 13449244
1050,Deverell Crescent,Winston Park Boulevard (north intersection) and Winston Park Boulevard (south intersection),Very High (100% match),btwn1: Winston Park Blvd  btwn2: Winston Park Blvd highway2: Deverell Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454119 oid2: 13454227
5738,Edinborough Court,Entire Length,Low (description was the entire length of road),btwn1: Entire Length btwn2:  highway2: Edinborough Ct metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
6067,Drovers Lane,Parliament Street and Verner Lane,No Match,btwn1: Parliament St btwn2: Verner Lane highway2: Drovers Lane metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
6667,Welland Avenue,Lawrence Avenue West and Douglas Avenue,Low (4 character difference),btwn1: Lawrence Ave W btwn2: Douglas Ave highway2: Welland Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454250 oid2: 13454796
353,Berl Avenue,The Queensway and North limit of road,Low (6 character difference),btwn1: The Queensway btwn2: North limit of road highway2: Berl Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13469444 oid2: 13463126
6226,Cherry Nook Gardens,Greenwood Avenue and the east end of Cherry Book Gardens,No Match,btwn1: Greenwood Ave btwn2: Cherry Book Gdns highway2: Cherry Nook Gdns metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13464185 oid2: 
6434,Notley Place,A point 304.20 metres west of Ferris Road,No Match,btwn1:  Ferris Rd btwn2:  highway2: Notley Pl metres_btwn1: 304.2 metres_btwn2:  direction_btwn1: west direction_btwn2:  oid1: 13457606 oid2: 
6511,Yorkdale Road,Dufferin Street and the exit ramp onto southbound William R. Allen Road,No Match,btwn1: Dufferin St btwn2: the exit ramp onto southbound William R. Allen Rd highway2: Yorkdale Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454098 oid2: 
