intersection_uid,date_range,classification_uid,reason
1,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
5,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
10,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
22,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
26,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
1,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
5,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
10,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
22,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
26,"[2017-10-03 00:00, 2017-10-30 00:00)",Cyclists,Baseline volume issues for peds and bikes
1,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
5,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
10,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
22,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
26,"[2017-10-03 00:00, 2017-10-30 00:00)",Pedestrians,Baseline volume issues for peds and bikes
2,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
6,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
12,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
23,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
27,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
2,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
6,"[2017-10-03 00:00, 2017-11-08 00:00)",Cyclists,Baseline volume issues for peds and bikes
