climate_id,dt,temp_max_celsius,temp_min_celsius,temp_mean_celsius,heat_deg_days,cool_deg_days,total_precip_mm
6158359,01/01/2019,6.1,-6.7,-0.3,18.3,0,0.4
6158359,01/02/2019,0.4,-7.9,-3.8,21.8,0,2.1
6158359,01/03/2019,1.8,-0.4,0.7,17.3,0,0
6158359,01/04/2019,6.6,1.5,4.1,13.9,0,0
6158359,01/05/2019,3.6,1.2,2.4,15.6,0,0
6158359,01/06/2019,5,-6.7,-0.9,18.9,0,0
6158359,01/07/2019,5.2,-7.2,-1,19,0,2.7
6158359,01/08/2019,8.7,3.4,6.1,11.9,0,3.8
6158359,01/09/2019,3.4,-3.3,0.1,17.9,0,0.2
6158359,01/10/2019,-3.3,-9.9,-6.6,24.6,0,0
6158359,01/11/2019,-6.3,-12,-9.2,27.2,0,0
6158359,01/12/2019,-4.4,-6.6,-5.5,23.5,0,0
6158359,01/13/2019,-5.4,-9.6,-7.5,25.5,0,0
6158359,01/14/2019,-1.6,-5.9,-3.8,21.8,0,0
6158359,01/15/2019,0.6,-2.9,-1.2,19.2,0,0
6158359,01/16/2019,0.5,-9.5,-4.5,22.5,0,0
6158359,01/17/2019,-1.8,-11.3,-6.6,24.6,0,0
6158359,01/18/2019,0.8,-8.3,-3.8,21.8,0,0.5
6158359,01/19/2019,-8.3,-15,-11.7,29.7,0,1.4
6158359,01/20/2019,-13.6,-21,-17.3,35.3,0,0
6158359,01/21/2019,-10.6,-21,-15.8,33.8,0,0
6158359,01/22/2019,1.3,-16.5,-7.6,25.6,0,0
6158359,01/23/2019,4.3,0.2,2.3,15.7,0,9.8
6158359,01/24/2019,3.8,-2.2,0.8,17.2,0,4.2
6158359,01/25/2019,-1.8,-10,-5.9,23.9,0,0
6158359,01/26/2019,-4,-11.7,-7.9,25.9,0,0
6158359,01/27/2019,-2,-12.4,-7.2,25.2,0,2.7
6158359,02/05/2019,8.6,-5.1,1.8,16.2,0,0.2
6158359,02/06/2019,-0.3,-5.1,-2.7,20.7,0,7.5
6158359,02/07/2019,3.4,-2.3,0.6,17.4,0,0.2
6158359,02/08/2019,4.7,-8.6,-2,20,0,0
6158359,02/09/2019,-2.7,-8.4,-5.6,23.6,0,0
6158359,02/10/2019,-3.2,-7.6,-5.4,23.4,0,0
6158359,02/11/2019,-3.1,-5,-4.1,22.1,0,0
6158359,02/12/2019,1.9,-5.7,-1.9,19.9,0,17.5
6158359,02/13/2019,1.8,-4.1,-1.2,19.2,0,0
6158359,02/14/2019,2.4,-3.4,-0.5,18.5,0,0
6158359,02/15/2019,3.3,-3,0.2,17.8,0,1
6158359,02/16/2019,-2,-6.9,-4.5,22.5,0,0
6158359,02/17/2019,-5,-9.1,-7.1,25.1,0,0
6158359,02/18/2019,-4.2,-11,-7.6,25.6,0,0.6
6158359,02/19/2019,-3.1,-11.8,-7.5,25.5,0,0
6158359,02/20/2019,0.9,-8.4,-3.8,21.8,0,1.7
6158359,02/21/2019,4.1,-0.8,1.7,16.3,0,0
6158359,02/22/2019,2.5,-2,0.3,17.7,0,0
6158359,02/23/2019,2.1,-1.3,0.4,17.6,0,0
6158359,02/24/2019,5.6,-1.8,1.9,16.1,0,7.8
6158359,02/25/2019,-1.5,-6.5,-4,22,0,0
6158359,02/26/2019,-5.1,-9.1,-7.1,25.1,0,0
6158359,02/27/2019,-6,-11.5,-8.8,26.8,0,1.1
6158359,02/28/2019,-6.1,-14,-10.1,28.1,0,0
6158359,03/01/2019,-1.2,-8.8,-5,23,0,0
6158359,03/02/2019,-0.4,-3.6,-2,20,0,2.3
6158359,03/03/2019,-1.9,-7.4,-4.7,22.7,0,0
6158359,03/04/2019,-6.7,-11.6,-9.2,27.2,0,0
6158359,03/05/2019,-7.6,-12.4,-10,28,0,0
6158359,03/06/2019,-8,-12,-10,28,0,0
6158359,03/07/2019,-4.7,-10.7,-7.7,25.7,0,0
6158359,03/08/2019,-1.4,-10.5,-6,24,0,0
6158359,03/09/2019,1.7,-8.4,-3.4,21.4,0,0.8
6158359,03/10/2019,5.1,1.2,3.2,14.8,0,13.2
6158359,03/11/2019,2.9,-1,1,17,0,0
6158359,03/12/2019,3.3,-1.8,0.8,17.2,0,0
6158359,03/13/2019,2.4,-0.4,1,17,0,0
6158359,03/14/2019,10.1,1.9,6,12,0,8.8
6158359,03/15/2019,10.2,1.2,5.7,12.3,0,0.2
6158359,03/16/2019,2.1,-3,-0.5,18.5,0,0
6158359,03/17/2019,2.2,-4.9,-1.4,19.4,0,0
6158359,03/19/2019,4.3,-3.7,0.3,17.7,0,0
6158359,03/21/2019,6.3,2.4,4.4,13.6,0,0
6158359,03/22/2019,4.4,-3.1,0.7,17.3,0,0
6158359,03/23/2019,5.6,-5.6,0,18,0,0
6158359,03/24/2019,9.5,1,5.3,12.7,0,0
6158359,03/25/2019,1.6,-2.3,-0.4,18.4,0,0
6158359,03/26/2019,2.3,-2.1,0.1,17.9,0,0
6158359,03/27/2019,6.8,-0.6,3.1,14.9,0,0
6158359,03/28/2019,9.2,-1.3,4,14,0,0.2
6158359,03/29/2019,9.9,3.5,6.7,11.3,0,0
6158359,03/30/2019,5.7,0.7,3.2,14.8,0,30.4
6158359,03/31/2019,2.9,-2.7,0.1,17.9,0,7.2
6158359,04/01/2019,2.7,-3.5,-0.4,18.4,0,0
6158359,04/02/2019,6.6,0.8,3.7,14.3,0,0
6158359,04/03/2019,7,2,4.5,13.5,0,0
6158359,04/04/2019,4.1,-0.4,1.9,16.1,0,0
6158359,04/05/2019,3.3,1.1,2.2,15.8,0,0
6158359,04/06/2019,11.4,2.4,6.9,11.1,0,0
6158359,04/07/2019,9.1,5.3,7.2,10.8,0,3.6
6158359,04/08/2019,15.5,4.1,9.8,8.2,0,0.4
6158359,04/09/2019,10.6,4.2,7.4,10.6,0,0
6158359,04/10/2019,6.3,1.6,4,14,0,0
6158359,04/11/2019,4.1,0.1,2.1,15.9,0,0.4
6158359,04/12/2019,11.9,4,8,10,0,1.4
6158359,04/13/2019,14,3.3,8.7,9.3,0,0
6158359,04/14/2019,5.4,2.7,4.1,13.9,0,23.8
6158359,04/15/2019,9.2,2.5,5.9,12.1,0,1.2
6158359,04/16/2019,6.7,1.8,4.3,13.7,0,0.2
6158359,04/17/2019,8.5,0.9,4.7,13.3,0,0
6158359,04/18/2019,16.8,5.7,11.3,6.7,0,0.6
6158359,04/19/2019,13.3,6,9.7,8.3,0,16
6158359,04/20/2019,7.7,4.9,6.3,11.7,0,8.4
6158359,04/21/2019,8.9,5.3,7.1,10.9,0,0
6158359,04/22/2019,14.5,4,9.3,8.7,0,0
