"dt","day_type","idx"
"2019-01-01","Weekend / Holiday",0.6350616096552376
"2019-01-02","Weekday",0.344156276185976
"2019-01-03","Weekday",0.58406489
"2019-01-04","Weekday",0.75801535
"2019-01-05","Weekend / Holiday",0.6060645
"2019-01-06","Weekend / Holiday",0.663806
"2019-01-07","Weekday",0.49775964954018964
"2019-01-08","Weekday",0.5843987704066648
"2019-01-09","Weekday",0.5907566968362434
"2019-01-10","Weekday",0.40921471
"2019-01-11","Weekday",0.303124
"2019-01-12","Weekend / Holiday",0.289567
"2019-01-13","Weekend / Holiday",0.2494365
"2019-01-14","Weekday",0.47718684
"2019-01-15","Weekday",0.5575841
"2019-01-16","Weekday",0.55584119
"2019-01-17","Weekday",0.47431945
"2019-01-18","Weekday",0.4787835315773969
"2019-01-19","Weekend / Holiday",0.01618786213198913
"2019-01-20","Weekend / Holiday",-0.0706705
"2019-01-21","Weekday",0.16571744
"2019-01-22","Weekday",0.59699539
"2019-01-23","Weekday",0.29807437785370433
"2019-01-24","Weekday",0.4228758420692885
"2019-01-25","Weekday",0.49163549
"2019-01-26","Weekend / Holiday",0.3351065
"2019-01-27","Weekend / Holiday",0.24088998454072374
"2019-01-28","Weekday",0.24088998454072374
"2019-01-29","Weekday",NULL
"2019-01-30","Weekday",NULL
"2019-01-31","Weekday",NULL
"2019-02-01","Weekday",NULL
"2019-02-02","Weekend / Holiday",NULL
"2019-02-03","Weekend / Holiday",NULL
"2019-02-04","Weekday",0.8353770868362435
"2019-02-05","Weekday",0.8353770868362435
"2019-02-06","Weekday",0.21889504256698256
"2019-02-07","Weekday",0.6525996968362435
"2019-02-08","Weekday",0.760769
"2019-02-09","Weekend / Holiday",0.4257915
"2019-02-10","Weekend / Holiday",0.408649
"2019-02-11","Weekday",0.48814899
"2019-02-12","Weekday",0.12579940150455884
"2019-02-13","Weekday",0.67064509
"2019-02-14","Weekday",0.69532644
"2019-02-15","Weekday",0.59981996
"2019-02-16","Weekend / Holiday",0.4751215
"2019-02-17","Weekend / Holiday",0.356029
"2019-02-18","Weekend / Holiday",0.30682112425484115
"2019-02-19","Weekday",0.51226776
"2019-02-20","Weekday",0.48931404952963237
"2019-02-21","Weekday",0.7762856
"2019-02-22","Weekday",0.72180655
"2019-02-23","Weekend / Holiday",0.663753
"2019-02-24","Weekend / Holiday",0.5076560593731902
"2019-02-25","Weekday",0.58591814
"2019-02-26","Weekday",0.46071195
"2019-02-27","Weekday",0.2946933833171463
"2019-02-28","Weekday",0.42967739
"2019-03-01","Weekday",0.60908134
"2019-03-02","Weekend / Holiday",0.4205027383942769
"2019-03-03","Weekend / Holiday",0.526613
"2019-03-04","Weekday",0.42045679
"2019-03-05","Weekday",0.39116514
"2019-03-06","Weekday",0.38110135
"2019-03-07","Weekday",0.50169724
"2019-03-08","Weekday",0.62352999
"2019-03-09","Weekend / Holiday",0.5948657550214491
"2019-03-10","Weekend / Holiday",0.44184070524097835
"2019-03-11","Weekday",0.78752904
"2019-03-12","Weekday",0.80625085
"2019-03-13","Weekday",0.7769592
